CustomerID,Name,Age,Gender,City,PurchaseAmount,PurchaseDate,ProductCategory,Purchased in Last 30 Days,,,,,,,,
1002,John Doe,52,Male,New York,631.35,22-06-2022,Home Decor,Not Purchased,,,,,,,,
1006,Alex Brown,73,Other,Los Angeles,819.42,23-06-2021,Electronics,Not Purchased,,,,,,,,
1007,Chris Johnson,66,Male,Phoenix,85.84,02-09-2020,Groceries,Not Purchased,,,,,,,,
1018,Alex Brown,59,Female,Chicago,267.88,05-07-2020,Fashion,Not Purchased,,,,,,,,
1021,Chris Johnson,25,Male,Los Angeles,982.62,22-11-2022,Home Decor,Not Purchased,,,,,,,,
1024,Emily White,25,Female,Houston,82.23,09-09-2021,Automobile,Not Purchased,,,,,,,,
1040,Chris Johnson,43,Female,New York,349.83,23-11-2021,Home Decor,Not Purchased,,,,,,,,
1049,John Doe,42,Other,Phoenix,355.83,19-10-2020,Fashion,Not Purchased,,,,,,,,
1052,Alex Brown,54,Female,Los Angeles,323.91,02-03-2022,Groceries,Not Purchased,,,,,,,,
1054,Chris Johnson,49,Female,Phoenix,656.9,25-11-2023,Automobile,Not Purchased,,,,,,,,
1060,Alex Brown,20,Other,Chicago,86.52,25-02-2021,Fashion,Not Purchased,,,,,,,,
1064,Alex Brown,57,Male,New York,556.31,01-04-2020,Home Decor,Not Purchased,,,,,,,,
1078,Jane Smith,78,Female,New York,311.16,22-10-2023,Automobile,Not Purchased,,,,,,,,
1089,Alex Brown,43,Male,Los Angeles,367.97,28-01-2021,Fashion,Not Purchased,,,,,,,,
1094,Alex Brown,33,Female,Chicago,218.77,26-01-2022,Electronics,Not Purchased,,,,,,,,
1098,Chris Johnson,76,Other,Phoenix,773.83,04-11-2023,Automobile,Not Purchased,,,,,,,,
1126,Alex Brown,32,Male,Los Angeles,44.63,18-06-2023,Home Decor,Not Purchased,,,,,,,,
1137,Emily White,55,Male,Phoenix,219.41,12-05-2020,Home Decor,Not Purchased,,,,,,,,
1141,Alex Brown,36,Female,Phoenix,482.3,15-08-2021,Groceries,Not Purchased,,,,,,,,
1154,Emily White,27,Other,Chicago,,09-06-2021,Electronics,Not Purchased,,,,,,,,
1155,Jane Smith,67,Other,Los Angeles,223.71,21-02-2023,Groceries,Not Purchased,,,,,,,,
1158,Emily White,76,Male,Houston,473.61,19-12-2023,Electronics,Purchased,,,,,,,,
1159,Chris Johnson,78,Male,Los Angeles,855.88,19-09-2023,Automobile,Not Purchased,,,,,,,,
1160,Jane Smith,41,Other,New York,844.05,08-06-2021,Misc,Not Purchased,,,,,,,,
1161,John Doe,67,Male,New York,528.46,16-07-2022,Electronics,Not Purchased,,,,,,,,
1166,John Doe,,Other,Phoenix,737.31,27-02-2021,Home Decor,Not Purchased,,,,,,,,
1193,Emily White,65,Female,Los Angeles,532.16,17-09-2023,Electronics,Not Purchased,,,,,,,,
1197,John Doe,43,Male,Chicago,56.17,22-11-2020,Home Decor,Not Purchased,,,,,,,,
1204,Emily White,76,Female,Phoenix,527.99,02-11-2023,Fashion,Not Purchased,,,,,,,,
